Field,Variable,Value,Label
AvInterest_2,6,Don't know,Age 18+_ proxy _ 3_Autonomous car interest_ Taxi_ backup driver present
AvInterest_3,1,Very interested,Age 18+_ proxy _ 3_Autonomous car interest_ Commute alone
AvInterest_3,2,Somewhat interested,Age 18+_ proxy _ 3_Autonomous car interest_ Commute alone
AvInterest_3,3,Neutral,Age 18+_ proxy _ 3_Autonomous car interest_ Commute alone
AvInterest_3,4,Somewhat uninterested,Age 18+_ proxy _ 3_Autonomous car interest_ Commute alone
AvInterest_3,5,Not at all interested,Age 18+_ proxy _ 3_Autonomous car interest_ Commute alone
AvInterest_3,6,Don't know,Age 18+_ proxy _ 3_Autonomous car interest_ Commute alone
AvInterest_4,1,Very interested,Age 18+_ proxy _ 3_Autonomous car interest_ Commute with others
AvInterest_4,2,Somewhat interested,Age 18+_ proxy _ 3_Autonomous car interest_ Commute with others
AvInterest_4,3,Neutral,Age 18+_ proxy _ 3_Autonomous car interest_ Commute with others
AvInterest_4,4,Somewhat uninterested,Age 18+_ proxy _ 3_Autonomous car interest_ Commute with others
AvInterest_4,5,Not at all interested,Age 18+_ proxy _ 3_Autonomous car interest_ Commute with others
AvInterest_4,6,Don't know,Age 18+_ proxy _ 3_Autonomous car interest_ Commute with others
AvInterest_5,1,Very interested,Age 18+_ proxy _ 3_Autonomous car interest_ Own autonomous car
AvInterest_5,2,Somewhat interested,Age 18+_ proxy _ 3_Autonomous car interest_ Own autonomous car
AvInterest_5,3,Neutral,Age 18+_ proxy _ 3_Autonomous car interest_ Own autonomous car
AvInterest_5,4,Somewhat uninterested,Age 18+_ proxy _ 3_Autonomous car interest_ Own autonomous car
AvInterest_5,5,Not at all interested,Age 18+_ proxy _ 3_Autonomous car interest_ Own autonomous car
AvInterest_5,6,Don't know,Age 18+_ proxy _ 3_Autonomous car interest_ Own autonomous car
AvInterest_6,1,Very interested,Age 18+_ proxy _ 3_Autonomous car interest_ Autonomous carshare
AvInterest_6,2,Somewhat interested,Age 18+_ proxy _ 3_Autonomous car interest_ Autonomous carshare
AvInterest_6,3,Neutral,Age 18+_ proxy _ 3_Autonomous car interest_ Autonomous carshare
AvInterest_6,4,Somewhat uninterested,Age 18+_ proxy _ 3_Autonomous car interest_ Autonomous carshare
AvInterest_6,5,Not at all interested,Age 18+_ proxy _ 3_Autonomous car interest_ Autonomous carshare
AvInterest_6,6,Don't know,Age 18+_ proxy _ 3_Autonomous car interest_ Autonomous carshare
AvInterest_7,1,Very interested,Age 18+_ proxy _ 3_Autonomous car interest_ Autonomous short trips
AvInterest_7,2,Somewhat interested,Age 18+_ proxy _ 3_Autonomous car interest_ Autonomous short trips
AvInterest_7,3,Neutral,Age 18+_ proxy _ 3_Autonomous car interest_ Autonomous short trips
AvInterest_7,4,Somewhat uninterested,Age 18+_ proxy _ 3_Autonomous car interest_ Autonomous short trips
AvInterest_7,5,Not at all interested,Age 18+_ proxy _ 3_Autonomous car interest_ Autonomous short trips
AvInterest_7,6,Don't know,Age 18+_ proxy _ 3_Autonomous car interest_ Autonomous short trips
AvConcern_1,1,Very concerned,Age 18+_ proxy _ 3_Autonomous car concern_ Equipment and safety
AvConcern_1,2,Somewhat concerned,Age 18+_ proxy _ 3_Autonomous car concern_ Equipment and safety
AvConcern_1,3,Neutral,Age 18+_ proxy _ 3_Autonomous car concern_ Equipment and safety
AvConcern_1,4,Somewhat unconcerned,Age 18+_ proxy _ 3_Autonomous car concern_ Equipment and safety
AvConcern_1,5,Not at all concerned,Age 18+_ proxy _ 3_Autonomous car concern_ Equipment and safety
AvConcern_1,6,Don't know,Age 18+_ proxy _ 3_Autonomous car concern_ Equipment and safety
AvConcern_2,1,Very concerned,Age 18+_ proxy _ 3_Autonomous car concern_ Legal liability
AvConcern_2,2,Somewhat concerned,Age 18+_ proxy _ 3_Autonomous car concern_ Legal liability
AvConcern_2,3,Neutral,Age 18+_ proxy _ 3_Autonomous car concern_ Legal liability
AvConcern_2,4,Somewhat unconcerned,Age 18+_ proxy _ 3_Autonomous car concern_ Legal liability
AvConcern_2,5,Not at all concerned,Age 18+_ proxy _ 3_Autonomous car concern_ Legal liability
AvConcern_2,6,Don't know,Age 18+_ proxy _ 3_Autonomous car concern_ Legal liability
AvConcern_3,1,Very concerned,Age 18+_ proxy _ 3_Autonomous car concern_ System and security
AvConcern_3,2,Somewhat concerned,Age 18+_ proxy _ 3_Autonomous car concern_ System and security
AvConcern_3,3,Neutral,Age 18+_ proxy _ 3_Autonomous car concern_ System and security
AvConcern_3,4,Somewhat unconcerned,Age 18+_ proxy _ 3_Autonomous car concern_ System and security
AvConcern_3,5,Not at all concerned,Age 18+_ proxy _ 3_Autonomous car concern_ System and security
AvConcern_3,6,Don't know,Age 18+_ proxy _ 3_Autonomous car concern_ System and security
AvConcern_4,1,Very concerned,Age 18+_ proxy _ 3_Autonomous car concern_ Reaction to driving environment
AvConcern_4,2,Somewhat concerned,Age 18+_ proxy _ 3_Autonomous car concern_ Reaction to driving environment
AvConcern_4,3,Neutral,Age 18+_ proxy _ 3_Autonomous car concern_ Reaction to driving environment
AvConcern_4,4,Somewhat unconcerned,Age 18+_ proxy _ 3_Autonomous car concern_ Reaction to driving environment
AvConcern_4,5,Not at all concerned,Age 18+_ proxy _ 3_Autonomous car concern_ Reaction to driving environment
AvConcern_4,6,Don't know,Age 18+_ proxy _ 3_Autonomous car concern_ Reaction to driving environment
AvConcern_5,1,Very concerned,Age 18+_ proxy _ 3_Autonomous car concern_ Poor weather performance
AvConcern_5,2,Somewhat concerned,Age 18+_ proxy _ 3_Autonomous car concern_ Poor weather performance
AvConcern_5,3,Neutral,Age 18+_ proxy _ 3_Autonomous car concern_ Poor weather performance
AvConcern_5,4,Somewhat unconcerned,Age 18+_ proxy _ 3_Autonomous car concern_ Poor weather performance
AvConcern_5,5,Not at all concerned,Age 18+_ proxy _ 3_Autonomous car concern_ Poor weather performance
AvConcern_5,6,Don't know,Age 18+_ proxy _ 3_Autonomous car concern_ Poor weather performance
WbtTransitmore_1,1,Regularly (6-7 days per week),Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Safer ways to get to stops
WbtTransitmore_1,2,Somewhat often (3-5 days per week),Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Safer ways to get to stops
WbtTransitmore_1,3,Occasionally (1-2 days per week),Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Safer ways to get to stops
WbtTransitmore_1,4,Rarely (1-3 times per month),Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Safer ways to get to stops
WbtTransitmore_1,5,Never,Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Safer ways to get to stops
WbtTransitmore_1,6,Not Applicable,Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Safer ways to get to stops
WbtTransitmore_2,1,Regularly (6-7 days per week),Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Increased frequency
WbtTransitmore_2,2,Somewhat often (3-5 days per week),Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Increased frequency
WbtTransitmore_2,3,Occasionally (1-2 days per week),Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Increased frequency
WbtTransitmore_2,4,Rarely (1-3 times per month),Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Increased frequency
WbtTransitmore_2,5,Never,Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Increased frequency
WbtTransitmore_2,6,Not Applicable,Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Increased frequency
WbtTransitmore_3,1,Regularly (6-7 days per week),Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Increased reliability
WbtTransitmore_3,2,Somewhat often (3-5 days per week),Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Increased reliability
WbtTransitmore_3,3,Occasionally (1-2 days per week),Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Increased reliability
WbtTransitmore_3,4,Rarely (1-3 times per month),Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Increased reliability
WbtTransitmore_3,5,Never,Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Increased reliability
WbtTransitmore_3,6,Not Applicable,Age 18+_ proxy _ 3_ transit_freq _ 5 days_wk_ Use more transit_ Increased reliability
WbtBikemore_1,1,Regularly (6-7 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Shared use path or protected bike lane
WbtBikemore_1,2,Somewhat often (3-5 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Shared use path or protected bike lane
WbtBikemore_1,3,Occasionally (1-2 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Shared use path or protected bike lane
WbtBikemore_1,4,Rarely (1-3 times per month),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Shared use path or protected bike lane
WbtBikemore_1,5,Never,Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Shared use path or protected bike lane
WbtBikemore_1,6,Not Applicable,Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Shared use path or protected bike lane
WbtBikemore_2,1,Regularly (6-7 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Neighborhood greenway
WbtBikemore_2,2,Somewhat often (3-5 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Neighborhood greenway
WbtBikemore_2,3,Occasionally (1-2 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Neighborhood greenway
WbtBikemore_2,4,Rarely (1-3 times per month),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Neighborhood greenway
WbtBikemore_2,5,Never,Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Neighborhood greenway
WbtBikemore_2,6,Not Applicable,Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Neighborhood greenway
WbtBikemore_3,1,Regularly (6-7 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Bike lane
WbtBikemore_3,2,Somewhat often (3-5 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Bike lane
WbtBikemore_3,3,Occasionally (1-2 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Bike lane
WbtBikemore_3,4,Rarely (1-3 times per month),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Bike lane
WbtBikemore_3,5,Never,Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Bike lane
WbtBikemore_3,6,Not Applicable,Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Bike lane
WbtBikemore_4,1,Regularly (6-7 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Shared roadway lane
WbtBikemore_4,2,Somewhat often (3-5 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Shared roadway lane
WbtBikemore_4,3,Occasionally (1-2 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Shared roadway lane
WbtBikemore_4,4,Rarely (1-3 times per month),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Shared roadway lane
WbtBikemore_4,5,Never,Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Shared roadway lane
WbtBikemore_4,6,Not Applicable,Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ Shared roadway lane
WbtBikemore_5,1,Regularly (6-7 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ End of trip ammenities
WbtBikemore_5,2,Somewhat often (3-5 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ End of trip ammenities
WbtBikemore_5,3,Occasionally (1-2 days per week),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ End of trip ammenities
WbtBikemore_5,4,Rarely (1-3 times per month),Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ End of trip ammenities
WbtBikemore_5,5,Never,Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ End of trip ammenities
WbtBikemore_5,6,Not Applicable,Age 18+_ proxy _ 3_ bike_freq _ 5 days_wk_ Use more bike_ End of trip ammenities
RmoveIncentive,1,Amazon e-gift card (delivered by email),Part 2 rMove participation_ Incentive type
RmoveIncentive,2,Starbucks e-gift card (delivered by email),Part 2 rMove participation_ Incentive type
RmoveIncentive,3,None – prefer not to receive a gift card,Part 2 rMove participation_ Incentive type
CallCenter,0,No,rSurvey only_ Participant completed Part 2 through the call center
CallCenter,1,Yes,rSurvey only_ Participant completed Part 2 through the call center
MobileDevice,0,No,rSurvey only_ Participant completed Part 2 on a mobile device
MobileDevice,1,Yes,rSurvey only_ Participant completed Part 2 on a mobile device
NumTrips,0,0 (no trips),Participant number of trips
DepartTimeMam,-5,Before 3:00 AM,Departure time_ Minutes after midnight
DepartTimeMam,1440,3:00 AM or later (the next day),Departure time_ Minutes after midnight
ArrivalTimeMam,-5,Before 3:00 AM,Arrival time_ Minutes after midnight
ArrivalTimeMam,1440,3:00 AM or later (the next day),Arrival time_ Minutes after midnight
OriginPurpose,1,Went home,Origin purpose
OriginPurpose,6,"Went to school/daycare (e.g., daycare, K-12, college)",Origin purpose
OriginPurpose,9,"Dropped off/picked up someone (e.g., son at a friend's house, spouse at bus stop)",Origin purpose
OriginPurpose,10,Went to primary workplace,Origin purpose
OriginPurpose,11,"Went to work-related place (e.g., meeting, second job, delivery)",Origin purpose
OriginPurpose,14,Went to other work-related activity,Origin purpose
OriginPurpose,30,Went grocery shopping,Origin purpose
OriginPurpose,32,"Went to other shopping (e.g., mall, pet store)",Origin purpose
OriginPurpose,33,"Conducted personal business (e.g., bank, post office)",Origin purpose
OriginPurpose,34,"Went to medical appointment (e.g., doctor, dentist)",Origin purpose
OriginPurpose,50,Went to restaurant to eat/get take-out,Origin purpose
OriginPurpose,51,"Went to exercise (e.g., gym, walk, jog, bike ride)",Origin purpose
OriginPurpose,52,"Attended social event (e.g., visit with friends, family, co-workers)",Origin purpose
OriginPurpose,53,"Attended recreational event (e.g., movies, sporting event)",Origin purpose
OriginPurpose,54,Went to religious/community/volunteer activity,Origin purpose
OriginPurpose,56,"Went to a family activity (e.g., child's softball game)",Origin purpose
OriginPurpose,60,"Transferred to another mode of transportation (e.g., change from ferry to bus)",Origin purpose
OriginPurpose,61,Other appointment/errands (rMove only),Origin purpose
OriginPurpose,62,Other social/leisure (rMove only),Origin purpose
OriginPurpose,97,Other purpose,Origin purpose
DestPurpose,1,Went home,Destination purpose
DestPurpose,6,"Went to school/daycare (e.g., daycare, K-12, college)",Destination purpose
DestPurpose,9,"Dropped off/picked up someone (e.g., son at a friend's house, spouse at bus stop)",Destination purpose
DestPurpose,10,Went to primary workplace,Destination purpose
DestPurpose,11,"Went to work-related place (e.g., meeting, second job, delivery)",Destination purpose
DestPurpose,14,Went to other work-related activity,Destination purpose
DestPurpose,30,Went grocery shopping,Destination purpose
DestPurpose,32,"Went to other shopping (e.g., mall, pet store)",Destination purpose
DestPurpose,33,"Conducted personal business (e.g., bank, post office)",Destination purpose
DestPurpose,34,"Went to medical appointment (e.g., doctor, dentist)",Destination purpose
DestPurpose,50,Went to restaurant to eat/get take-out,Destination purpose
DestPurpose,51,"Went to exercise (e.g., gym, walk, jog, bike ride)",Destination purpose
DestPurpose,52,"Attended social event (e.g., visit with friends, family, co-workers)",Destination purpose
DestPurpose,53,"Attended recreational event (e.g., movies, sporting event)",Destination purpose
DestPurpose,54,Went to religious/community/volunteer activity,Destination purpose
DestPurpose,56,"Went to a family activity (e.g., child's softball game)",Destination purpose
DestPurpose,60,"Transferred to another mode of transportation (e.g., change from ferry to bus)",Destination purpose
DestPurpose,61,Other appointment/errands (rMove only),Destination purpose
DestPurpose,62,Other social/leisure (rMove only),Destination purpose
DestPurpose,97,Other purpose,Destination purpose
Mode_4,1,"Walk, jog, or wheelchair",rMove only_ Fourth mode chosen
Mode_4,2,Bicycle or e-bike,rMove only_ Fourth mode chosen
Mode_4,3,Household vehicle 1,rMove only_ Fourth mode chosen
Mode_4,4,Household vehicle 2,rMove only_ Fourth mode chosen
Mode_4,5,Household vehicle 3,rMove only_ Fourth mode chosen
Mode_4,6,Household vehicle 4,rMove only_ Fourth mode chosen
Mode_4,7,Household vehicle 5,rMove only_ Fourth mode chosen
Mode_4,8,Household vehicle 6,rMove only_ Fourth mode chosen
Mode_4,9,Household vehicle 7,rMove only_ Fourth mode chosen
Mode_4,10,Household vehicle 8,rMove only_ Fourth mode chosen
Mode_4,11,Household vehicle 9,rMove only_ Fourth mode chosen
Mode_4,12,Household vehicle 10,rMove only_ Fourth mode chosen
Mode_4,16,Other household vehicle,rMove only_ Fourth mode chosen
Mode_4,17,Rental car,rMove only_ Fourth mode chosen
Mode_4,18,"Carshare vehicle (e.g., Zipcar, Car2Go, RelayRides, etc.)",rMove only_ Fourth mode chosen
Mode_4,21,Vanpool vehicle,rMove only_ Fourth mode chosen
Mode_4,22,Other non-household vehicle,rMove only_ Fourth mode chosen
Mode_4,23,Bus (public transit),rMove only_ Fourth mode chosen
Mode_4,24,School bus,rMove only_ Fourth mode chosen
Mode_4,26,Private bus or shuttle,rMove only_ Fourth mode chosen
Mode_4,27,Paratransit,rMove only_ Fourth mode chosen
Mode_4,28,Other bus (rMove only),rMove only_ Fourth mode chosen
Mode_4,31,Airplane or helicopter,rMove only_ Fourth mode chosen
Mode_4,32,Ferry or water taxi,rMove only_ Fourth mode chosen
Mode_4,33,Car from work,rMove only_ Fourth mode chosen
Mode_4,34,Friend/colleague's car,rMove only_ Fourth mode chosen
Mode_4,36,"Taxi (e.g., Yello Cab)",rMove only_ Fourth mode chosen
Mode_4,37,"Other hired service (e.g., Lyft, Uber)",rMove only_ Fourth mode chosen
Mode_4,41,"Commuter rail (Sounder, Amtrak)",rMove only_ Fourth mode chosen
Mode_4,42,"Other rail (e.g., streetcar)",rMove only_ Fourth mode chosen
Mode_4,47,Other motorcycle/moped/scooter,rMove only_ Fourth mode chosen
Mode_4,52,"Urban rail (e.g., Link light rail, monorail)",rMove only_ Fourth mode chosen
Mode_4,97,"Other mode (e.g., skateboard, kayak, motorhome, etc.)",rMove only_ Fourth mode chosen
TravelersNonHH,0,None (0 people),Number of non-household members on trip
TravelersNonHH,1,1 other person,Number of non-household members on trip
TravelersNonHH,2,2 other people,Number of non-household members on trip
TravelersNonHH,3,3 other people,Number of non-household members on trip
TravelersNonHH,4,4 other people,Number of non-household members on trip
TravelersNonHH,5,5+ other people,Number of non-household members on trip
Driver,1,Driver,Auto trip_ non-taxi_ Driver or passenger
Driver,2,Passenger,Auto trip_ non-taxi_ Driver or passenger
Driver,3,Both (switched drivers during trip),Auto trip_ non-taxi_ Driver or passenger
HHmemberNone,0,No,rSurvey only_ Flag_ Self-only on trip
HHmemberNone,1,Yes,rSurvey only_ Flag_ Self-only on trip
PoolStart,1,Yes,Carpool_Vanpool_ Joined carpool_vanpool at trip origin
PoolStart,2,"No, drove to a Park & Ride lot",Carpool_Vanpool_ Joined carpool_vanpool at trip origin
PoolStart,3,"No, drove to another meeting place",Carpool_Vanpool_ Joined carpool_vanpool at trip origin
PoolStart,4,"No, walked/biked to a Park & Ride lot",Carpool_Vanpool_ Joined carpool_vanpool at trip origin
PoolStart,5,"No, walked/biked to another meeting place",Carpool_Vanpool_ Joined carpool_vanpool at trip origin
PoolStart,6,"No, rode a bus to a Park & Ride lot",Carpool_Vanpool_ Joined carpool_vanpool at trip origin
PoolStart,7,"No, rode a bus to another place",Carpool_Vanpool_ Joined carpool_vanpool at trip origin
ChangeVehicles,1,"No, stayed in the same vehicle (picked up/dropped off passengers)",Changed vehicles at carpool start location
ChangeVehicles,2,"Yes, changed vehicles to join carpool/vanpool",Changed vehicles at carpool start location
ParkRideAreaStart,1,"North Seattle & Shoreline: includes Greenlake, Jackson Park, Northgate & Roosevelt",Park & Ride_ Origin lot area
ParkRideAreaStart,2,South Seattle: includes Burien & Vashon Island,Park & Ride_ Origin lot area
ParkRideAreaStart,3,"Northeast Side (King County): includes Bothell, Kenmore & Woodinville",Park & Ride_ Origin lot area
ParkRideAreaStart,4,"East Side (King County): includes Bellevue, Kirkland, Medina, Mercer Island, Redmond & Sammamish",Park & Ride_ Origin lot area
ParkRideAreaStart,5,"Southeast Side (King County): includes Maple Valley, Newport Hills/Newcastle, & Renton",Park & Ride_ Origin lot area
ParkRideAreaStart,6,"East King County: includes Issaquah, North Bend, Preston, Sammamish, & Snoqualmie",Park & Ride_ Origin lot area
ParkRideAreaStart,7,"South King County: includes Auburn, Black Diamond, Covington, Enumclaw, Federal Way, Kent, Lake Meridian & Tukwila",Park & Ride_ Origin lot area
ParkRideAreaStart,8,"Bremerton/Central Kitsap: includes Bremerton, Seabeck",Park & Ride_ Origin lot area
ParkRideAreaStart,9,"Poulsbo/North Kitsap: includes Kingston, Poulsbo, Suquamish",Park & Ride_ Origin lot area
ParkRideAreaStart,10,Bainbridge Island Vicinity,Park & Ride_ Origin lot area
ParkRideAreaStart,11,"Port Orchard/South Kitsap: includes Port Orchard, Burley, Southworth, & Olalla",Park & Ride_ Origin lot area
ParkRideAreaStart,12,"North Snohomish County: includes Arlington, Stanwood",Park & Ride_ Origin lot area
ParkRideAreaStart,13,"East Snohomish County: includes Gold Bar, Granite Falls, Monroe, & Sultan",Park & Ride_ Origin lot area
ParkRideAreaStart,14,"South Snohomish County: includes northern Bothell, Brier, Edmonds, Lynnwood, Mill Creek, & Mountlake Terrace",Park & Ride_ Origin lot area
ParkRideAreaStart,15,"Central Snohomish County: includes Everett, Lake Stevens, Marysville, & Snohomish",Park & Ride_ Origin lot area
ParkRideAreaStart,16,"East Pierce County (excluding Tacoma): includes Gig Harbor, Dupont, Lakewood, & Purdy",Park & Ride_ Origin lot area
ParkRideAreaStart,17,"Central Pierce County: Bonney Lake, Parkland, Puyallup, Sumner, & Spanaway",Park & Ride_ Origin lot area
ParkRideAreaStart,18,Pierce County: includes Tacoma,Park & Ride_ Origin lot area
ParkRideAreaEnd,1,"North Seattle & Shoreline: includes Greenlake, Jackson Park, Northgate & Roosevelt",Park & Ride_ Destination lot area
ParkRideAreaEnd,2,South Seattle: includes Burien & Vashon Island,Park & Ride_ Destination lot area
ParkRideAreaEnd,3,"Northeast Side (King County): includes Bothell, Kenmore & Woodinville",Park & Ride_ Destination lot area
ParkRideAreaEnd,4,"East Side (King County): includes Bellevue, Kirkland, Medina, Mercer Island, Redmond & Sammamish",Park & Ride_ Destination lot area
ParkRideAreaEnd,5,"Southeast Side (King County): includes Maple Valley, Newport Hills/Newcastle, & Renton",Park & Ride_ Destination lot area
ParkRideAreaEnd,6,"East King County: includes Issaquah, North Bend, Preston, Sammamish, & Snoqualmie",Park & Ride_ Destination lot area
ParkRideAreaEnd,7,"South King County: includes Auburn, Black Diamond, Covington, Enumclaw, Federal Way, Kent, Lake Meridian & Tukwila",Park & Ride_ Destination lot area
ParkRideAreaEnd,8,"Bremerton/Central Kitsap: includes Bremerton, Seabeck",Park & Ride_ Destination lot area
ParkRideAreaEnd,9,"Poulsbo/North Kitsap: includes Kingston, Poulsbo, Suquamish",Park & Ride_ Destination lot area
ParkRideAreaEnd,10,Bainbridge Island Vicinity,Park & Ride_ Destination lot area
ParkRideAreaEnd,11,"Port Orchard/South Kitsap: includes Port Orchard, Burley, Southworth, & Olalla",Park & Ride_ Destination lot area
ParkRideAreaEnd,12,"North Snohomish County: includes Arlington, Stanwood",Park & Ride_ Destination lot area
ParkRideAreaEnd,13,"East Snohomish County: includes Gold Bar, Granite Falls, Monroe, & Sultan",Park & Ride_ Destination lot area
ParkRideAreaEnd,14,"South Snohomish County: includes northern Bothell, Brier, Edmonds, Lynnwood, Mill Creek, & Mountlake Terrace",Park & Ride_ Destination lot area
ParkRideAreaEnd,15,"Central Snohomish County: includes Everett, Lake Stevens, Marysville, & Snohomish",Park & Ride_ Destination lot area
ParkRideAreaEnd,16,"East Pierce County (excluding Tacoma): includes Gig Harbor, Dupont, Lakewood, & Purdy",Park & Ride_ Destination lot area
ParkRideAreaEnd,17,"Central Pierce County: Bonney Lake, Parkland, Puyallup, Sumner, & Spanaway",Park & Ride_ Destination lot area
ParkRideAreaEnd,18,Pierce County: includes Tacoma,Park & Ride_ Destination lot area
ParkRideAreaEnd,1,,Park & Ride_ Destination lot area
Toll,0,"No, I did not use a toll road/bridge",Auto trip_ non-taxi_ Used toll on trip
Toll,1,"Yes, I used a toll road/bridge",Auto trip_ non-taxi_ Used toll on trip
Toll,98,I don't know,Auto trip_ non-taxi_ Used toll on trip
TollPay,2,The toll was free,Used toll on trip_ toll fare
TollPay,3,The toll was less than $2.00,Used toll on trip_ toll fare
TollPay,4,The toll cost $2.00-$3.99,Used toll on trip_ toll fare
TollPay,5,The toll cost $4.00-$5.99,Used toll on trip_ toll fare
TollPay,6,The toll cost $6.00-$7.99,Used toll on trip_ toll fare
TollPay,7,The toll cost $8.00-$9.99,Used toll on trip_ toll fare
TollPay,8,The toll cost $10.00 or more,Used toll on trip_ toll fare
TollPay,98,I don't know,Used toll on trip_ toll fare
TaxiType,1,I paid the fare myself (no reimbursement),rMove only_ Taxi trip fare payment method
TaxiType,2,Employer paid (I am reimbursed),rMove only_ Taxi trip fare payment method
TaxiType,3,Split/shared fare with other(s),rMove only_ Taxi trip fare payment method
TaxiType,4,Someone else paid 100% (all of taxi fare),rMove only_ Taxi trip fare payment method
TaxiType,97,Other,rMove only_ Taxi trip fare payment method
TaxiPay,1,Less than $5.00,Approximate taxi trip fare
TaxiPay,2,$5.00-$9.99,Approximate taxi trip fare
TaxiPay,3,$10.00-$19.99,Approximate taxi trip fare
TaxiPay,4,$20.00-$29.99,Approximate taxi trip fare
TaxiPay,5,$30.00-$39.99,Approximate taxi trip fare
TaxiPay,6,$40.00-$49.99,Approximate taxi trip fare
TaxiPay,7,$50.00-$99.99,Approximate taxi trip fare
TaxiPay,98,Don't know,Approximate taxi trip fare
BusType,1,Free (no cost at all),rMove only_ Bus trip fare payment method
BusType,2,Used a pass (any type),rMove only_ Bus trip fare payment method
BusType,3,"Cash, credit card, or ticket(s)",rMove only_ Bus trip fare payment method
BusType,97,Other,rMove only_ Bus trip fare payment method
BusType,98,Don't Know,rMove only_ Bus trip fare payment method
BusPay,98,Don't know,rMove only_ Approximate bus trip fare
BusCostDk,0,Not selected,rMove only_ Don't know bus trip cost
BusCostDk,1,Selected,rMove only_ Don't know bus trip cost
FerryType,1,Free (no cost at all),rMove only_ Ferry trip fare payment method
FerryType,2,Used a pass (any type),rMove only_ Ferry trip fare payment method
FerryType,3,"Cash, credit card, or ticket(s)",rMove only_ Ferry trip fare payment method
FerryType,97,Other,rMove only_ Ferry trip fare payment method
FerryType,98,Don't Know,rMove only_ Ferry trip fare payment method
FerryPay,98,Don't know,rMove only_ Approximate ferry trip fare
FerryCostDk,0,Not selected,rMove only_ Don't know ferry trip cost
FerryCostDk,1,Selected,rMove only_ Don't know ferry trip cost
RailType,1,Free (no cost at all),rMove only_ Rail trip fare payment method
RailType,2,Used a pass (any type),rMove only_ Rail trip fare payment method
