Variable,ValueOrder,ValueText,VariableName,ValueGroup1
PrevWorkNotwaState,52,Washington D.C. / District of Columbia (DC),New work location in last 5 years: Previous work location: State,Washington D.C. / District of Columbia (DC)
PrevWorkNotwaNotus,0,Not Selected,New work location in last 5 years: Previous work location not in the US,Not Selected
PrevWorkNotwaNotus,1,Selected,New work location in last 5 years: Previous work location not in the US,Selected
SchoolFreq,1,6–7 days per week,"Student, travels to school: How often travels to school",6–7 days per week
SchoolFreq,2,5 days per week,"Student, travels to school: How often travels to school",5 days per week
SchoolFreq,3,4 days per week,"Student, travels to school: How often travels to school",4 days per week
SchoolFreq,4,3 days per week,"Student, travels to school: How often travels to school",3 days per week
SchoolFreq,5,2 days per week,"Student, travels to school: How often travels to school",2 days per week
SchoolFreq,6,1 day per week,"Student, travels to school: How often travels to school",1 day per week
SchoolFreq,7,Less than 1 day per week,"Student, travels to school: How often travels to school",Less than 1 day per week
SchoolFreq,8,"Never, only take online classes","Student, travels to school: How often travels to school","Never, only take online classes"
CompletedPrefSurvey,0,No,Participant completed preference survey,No
CompletedPrefSurvey,1,Yes,Participant completed preference survey,Yes
ModeFreq1,1,6-7 days/week,Times ridden transit in past 30 days,6-7 days/week
ModeFreq1,2,5 days/week,Times ridden transit in past 30 days,5 days/week
ModeFreq1,3,2-4 days/week,Times ridden transit in past 30 days,2-4 days/week
ModeFreq1,4,1 day/week,Times ridden transit in past 30 days,1 day/week
ModeFreq1,5,1-3 times in the past 30 days,Times ridden transit in past 30 days,1-3 times in the past 30 days
ModeFreq1,6,"I do this, but not in the past 30 days",Times ridden transit in past 30 days,"I do this, but not in the past 30 days"
ModeFreq1,7,I never do this,Times ridden transit in past 30 days,I never do this
ModeFreq2,1,6-7 days/week,Times ridden a bike in past 30 days,6-7 days/week
ModeFreq2,2,5 days/week,Times ridden a bike in past 30 days,5 days/week
ModeFreq2,3,2-4 days/week,Times ridden a bike in past 30 days,2-4 days/week
ModeFreq2,4,1 day/week,Times ridden a bike in past 30 days,1 day/week
ModeFreq2,5,1-3 times in the past 30 days,Times ridden a bike in past 30 days,1-3 times in the past 30 days
ModeFreq2,6,"I do this, but not in the past 30 days",Times ridden a bike in past 30 days,"I do this, but not in the past 30 days"
ModeFreq2,7,I never do this,Times ridden a bike in past 30 days,I never do this
ModeFreq3,1,6-7 days/week,Times gone for a walk in past 30 days,6-7 days/week
ModeFreq3,2,5 days/week,Times gone for a walk in past 30 days,5 days/week
ModeFreq3,3,2-4 days/week,Times gone for a walk in past 30 days,2-4 days/week
ModeFreq3,4,1 day/week,Times gone for a walk in past 30 days,1 day/week
ModeFreq3,5,1-3 times in the past 30 days,Times gone for a walk in past 30 days,1-3 times in the past 30 days
ModeFreq3,6,"I do this, but not in the past 30 days",Times gone for a walk in past 30 days,"I do this, but not in the past 30 days"
ModeFreq3,7,I never do this,Times gone for a walk in past 30 days,I never do this
ModeFreq4,1,6-7 days/week,Age 16+: Times used carshare in past 30 days,6-7 days/week
ModeFreq4,2,5 days/week,Age 16+: Times used carshare in past 30 days,5 days/week
ModeFreq4,3,2-4 days/week,Age 16+: Times used carshare in past 30 days,2-4 days/week
ModeFreq4,4,1 day/week,Age 16+: Times used carshare in past 30 days,1 day/week
ModeFreq4,5,1-3 times in the past 30 days,Age 16+: Times used carshare in past 30 days,1-3 times in the past 30 days
ModeFreq4,6,"I do this, but not in the past 30 days",Age 16+: Times used carshare in past 30 days,"I do this, but not in the past 30 days"
ModeFreq4,7,I never do this,Age 16+: Times used carshare in past 30 days,I never do this
ModeFreq5,1,6-7 days/week,Age 16+: Times used rideshare in past 30 days,6-7 days/week
ModeFreq5,2,5 days/week,Age 16+: Times used rideshare in past 30 days,5 days/week
ModeFreq5,3,2-4 days/week,Age 16+: Times used rideshare in past 30 days,2-4 days/week
ModeFreq5,4,1 day/week,Age 16+: Times used rideshare in past 30 days,1 day/week
ModeFreq5,5,1-3 times in the past 30 days,Age 16+: Times used rideshare in past 30 days,1-3 times in the past 30 days
ModeFreq5,6,"I do this, but not in the past 30 days",Age 16+: Times used rideshare in past 30 days,"I do this, but not in the past 30 days"
ModeFreq5,7,I never do this,Age 16+: Times used rideshare in past 30 days,I never do this
TranPass1,1,Typically use,Ridden transit in past 30 days: Available and typically use when riding transit: Cash,Typically use
TranPass1,2,"Available, but don't typically use",Ridden transit in past 30 days: Available and typically use when riding transit: Cash,"Available, but don't typically use"
TranPass1,3,Not available,Ridden transit in past 30 days: Available and typically use when riding transit: Cash,Not available
TranPass2,1,Typically use,Ridden transit in past 30 days: Available and typically use when riding transit: Tickets,Typically use
TranPass2,2,"Available, but don't typically use",Ridden transit in past 30 days: Available and typically use when riding transit: Tickets,"Available, but don't typically use"
TranPass2,3,Not available,Ridden transit in past 30 days: Available and typically use when riding transit: Tickets,Not available
TranPass3,1,Typically use,Ridden transit in past 30 days: Available and typically use when riding transit: ORCA card,Typically use
TranPass3,2,"Available, but don't typically use",Ridden transit in past 30 days: Available and typically use when riding transit: ORCA card,"Available, but don't typically use"
TranPass3,3,Not available,Ridden transit in past 30 days: Available and typically use when riding transit: ORCA card,Not available
TranPass4,1,Typically use,Ridden transit in past 30 days: Available and typically use when riding transit: UPass or Husky Card,Typically use
TranPass4,2,"Available, but don't typically use",Ridden transit in past 30 days: Available and typically use when riding transit: UPass or Husky Card,"Available, but don't typically use"
TranPass4,3,Not available,Ridden transit in past 30 days: Available and typically use when riding transit: UPass or Husky Card,Not available
TranPass5,1,Typically use,Ridden transit in past 30 days: Available and typically use when riding transit: Regional Reduced-Fare Permit,Typically use
TranPass5,2,"Available, but don't typically use",Ridden transit in past 30 days: Available and typically use when riding transit: Regional Reduced-Fare Permit,"Available, but don't typically use"
TranPass5,3,Not available,Ridden transit in past 30 days: Available and typically use when riding transit: Regional Reduced-Fare Permit,Not available
TranPass6,1,Typically use,Ridden transit in past 30 days: Available and typically use when riding transit: Flexpass/Passport,Typically use
TranPass6,2,"Available, but don't typically use",Ridden transit in past 30 days: Available and typically use when riding transit: Flexpass/Passport,"Available, but don't typically use"
TranPass6,3,Not available,Ridden transit in past 30 days: Available and typically use when riding transit: Flexpass/Passport,Not available
TranPass7,1,Typically use,Ridden transit in past 30 days: Available and typically use when riding transit: Access Pass,Typically use
TranPass7,2,"Available, but don't typically use",Ridden transit in past 30 days: Available and typically use when riding transit: Access Pass,"Available, but don't typically use"
TranPass7,3,Not available,Ridden transit in past 30 days: Available and typically use when riding transit: Access Pass,Not available
TranPass8,1,Typically use,Ridden transit in past 30 days: Available and typically use when riding transit: School District Card/Pass,Typically use
TranPass8,2,"Available, but don't typically use",Ridden transit in past 30 days: Available and typically use when riding transit: School District Card/Pass,"Available, but don't typically use"
TranPass8,3,Not available,Ridden transit in past 30 days: Available and typically use when riding transit: School District Card/Pass,Not available
TranPass9,1,Typically use,Ridden transit in past 30 days: Available and typically use when riding transit: City/County Employee Badge,Typically use
TranPass9,2,"Available, but don't typically use",Ridden transit in past 30 days: Available and typically use when riding transit: City/County Employee Badge,"Available, but don't typically use"
TranPass9,3,Not available,Ridden transit in past 30 days: Available and typically use when riding transit: City/County Employee Badge,Not available
TranPass10,1,Typically use,Ridden transit in past 30 days: Available and typically use when riding transit: Ride free,Typically use
TranPass10,2,"Available, but don't typically use",Ridden transit in past 30 days: Available and typically use when riding transit: Ride free,"Available, but don't typically use"
TranPass10,3,Not available,Ridden transit in past 30 days: Available and typically use when riding transit: Ride free,Not available
TranPass11,1,Typically use,Ridden transit in past 30 days: Available and typically use when riding transit: Other,Typically use
TranPass11,2,"Available, but don't typically use",Ridden transit in past 30 days: Available and typically use when riding transit: Other,"Available, but don't typically use"
TranPass11,3,Not available,Ridden transit in past 30 days: Available and typically use when riding transit: Other,Not available
TranPass12,1,"Yes, school pays all of value","Age 12+, travels to school, uses transit pass: School pays for part of all of pass value","Yes, school pays all of value"
TranPass12,2,"Yes, school pays part of value","Age 12+, travels to school, uses transit pass: School pays for part of all of pass value","Yes, school pays part of value"
TranPass12,3,"No, participant/household pays all of value","Age 12+, travels to school, uses transit pass: School pays for part of all of pass value","No, participant/household pays all of value"
TranPass12,4,"No, someone else pays all of value","Age 12+, travels to school, uses transit pass: School pays for part of all of pass value","No, someone else pays all of value"
TranPass12,5,I don't know,"Age 12+, travels to school, uses transit pass: School pays for part of all of pass value",I don't know
Benefits1,1,Not offered,Employer commuter benefits: Flextime,Not offered
Benefits1,2,"Offered, but I don't use",Employer commuter benefits: Flextime,"Offered, but I don't use"
Benefits1,3,"Offered, and I use",Employer commuter benefits: Flextime,"Offered, and I use"
Benefits1,4,I don't know,Employer commuter benefits: Flextime,I don't know
Benefits2,1,Not offered,Employer commuter benefits: Compressed Week,Not offered
Benefits2,2,"Offered, but I don't use",Employer commuter benefits: Compressed Week,"Offered, but I don't use"
Benefits2,3,"Offered, and I use",Employer commuter benefits: Compressed Week,"Offered, and I use"
Benefits2,4,I don't know,Employer commuter benefits: Compressed Week,I don't know
Benefits3,1,Not offered,Employer commuter benefits: Free/partially subsidized passes/fares,Not offered
Benefits3,2,"Offered, but I don't use",Employer commuter benefits: Free/partially subsidized passes/fares,"Offered, but I don't use"
Benefits3,3,"Offered, and I use",Employer commuter benefits: Free/partially subsidized passes/fares,"Offered, and I use"
Benefits3,4,I don't know,Employer commuter benefits: Free/partially subsidized passes/fares,I don't know
Benefits4,1,Not offered,"Employer commuter benefits: Other subsidized commute (vanpool, bike, etc.)",Not offered
Benefits4,2,"Offered, but I don't use","Employer commuter benefits: Other subsidized commute (vanpool, bike, etc.)","Offered, but I don't use"
Benefits4,3,"Offered, and I use","Employer commuter benefits: Other subsidized commute (vanpool, bike, etc.)","Offered, and I use"
Benefits4,4,I don't know,"Employer commuter benefits: Other subsidized commute (vanpool, bike, etc.)",I don't know
AvInterest1,1,Very interested,"Age 18+, proxy <> 3: Autonomous car interest: Taxi, no driver present",Very interested
AvInterest1,2,Somewhat interested,"Age 18+, proxy <> 3: Autonomous car interest: Taxi, no driver present",Somewhat interested
AvInterest1,3,Neutral,"Age 18+, proxy <> 3: Autonomous car interest: Taxi, no driver present",Neutral
AvInterest1,4,Somewhat uninterested,"Age 18+, proxy <> 3: Autonomous car interest: Taxi, no driver present",Somewhat uninterested
AvInterest1,5,Not at all interested,"Age 18+, proxy <> 3: Autonomous car interest: Taxi, no driver present",Not at all interested
AvInterest1,6,Don't know,"Age 18+, proxy <> 3: Autonomous car interest: Taxi, no driver present",Don't know
AvInterest2,1,Very interested,"Age 18+, proxy <> 3:Autonomous car interest: Taxi, backup driver present",Very interested
AvInterest2,2,Somewhat interested,"Age 18+, proxy <> 3:Autonomous car interest: Taxi, backup driver present",Somewhat interested
AvInterest2,3,Neutral,"Age 18+, proxy <> 3:Autonomous car interest: Taxi, backup driver present",Neutral
AvInterest2,4,Somewhat uninterested,"Age 18+, proxy <> 3:Autonomous car interest: Taxi, backup driver present",Somewhat uninterested
AvInterest2,5,Not at all interested,"Age 18+, proxy <> 3:Autonomous car interest: Taxi, backup driver present",Not at all interested
AvInterest2,6,Don't know,"Age 18+, proxy <> 3:Autonomous car interest: Taxi, backup driver present",Don't know
AvInterest3,1,Very interested,"Age 18+, proxy <> 3:Autonomous car interest: Commute alone",Very interested
AvInterest3,2,Somewhat interested,"Age 18+, proxy <> 3:Autonomous car interest: Commute alone",Somewhat interested
AvInterest3,3,Neutral,"Age 18+, proxy <> 3:Autonomous car interest: Commute alone",Neutral
AvInterest3,4,Somewhat uninterested,"Age 18+, proxy <> 3:Autonomous car interest: Commute alone",Somewhat uninterested
AvInterest3,5,Not at all interested,"Age 18+, proxy <> 3:Autonomous car interest: Commute alone",Not at all interested
AvInterest3,6,Don't know,"Age 18+, proxy <> 3:Autonomous car interest: Commute alone",Don't know
AvInterest4,1,Very interested,"Age 18+, proxy <> 3:Autonomous car interest: Commute with others",Very interested
AvInterest4,2,Somewhat interested,"Age 18+, proxy <> 3:Autonomous car interest: Commute with others",Somewhat interested
AvInterest4,3,Neutral,"Age 18+, proxy <> 3:Autonomous car interest: Commute with others",Neutral
AvInterest4,4,Somewhat uninterested,"Age 18+, proxy <> 3:Autonomous car interest: Commute with others",Somewhat uninterested
AvInterest4,5,Not at all interested,"Age 18+, proxy <> 3:Autonomous car interest: Commute with others",Not at all interested
AvInterest4,6,Don't know,"Age 18+, proxy <> 3:Autonomous car interest: Commute with others",Don't know
AvInterest5,1,Very interested,"Age 18+, proxy <> 3:Autonomous car interest: Own autonomous car",Very interested
AvInterest5,2,Somewhat interested,"Age 18+, proxy <> 3:Autonomous car interest: Own autonomous car",Somewhat interested
AvInterest5,3,Neutral,"Age 18+, proxy <> 3:Autonomous car interest: Own autonomous car",Neutral
AvInterest5,4,Somewhat uninterested,"Age 18+, proxy <> 3:Autonomous car interest: Own autonomous car",Somewhat uninterested
AvInterest5,5,Not at all interested,"Age 18+, proxy <> 3:Autonomous car interest: Own autonomous car",Not at all interested
AvInterest5,6,Don't know,"Age 18+, proxy <> 3:Autonomous car interest: Own autonomous car",Don't know
AvInterest6,1,Very interested,"Age 18+, proxy <> 3:Autonomous car interest: Autonomous carshare",Very interested
AvInterest6,2,Somewhat interested,"Age 18+, proxy <> 3:Autonomous car interest: Autonomous carshare",Somewhat interested
AvInterest6,3,Neutral,"Age 18+, proxy <> 3:Autonomous car interest: Autonomous carshare",Neutral
AvInterest6,4,Somewhat uninterested,"Age 18+, proxy <> 3:Autonomous car interest: Autonomous carshare",Somewhat uninterested
AvInterest6,5,Not at all interested,"Age 18+, proxy <> 3:Autonomous car interest: Autonomous carshare",Not at all interested
AvInterest6,6,Don't know,"Age 18+, proxy <> 3:Autonomous car interest: Autonomous carshare",Don't know
AvInterest7,1,Very interested,"Age 18+, proxy <> 3:Autonomous car interest: Autonomous short trips",Very interested
AvInterest7,2,Somewhat interested,"Age 18+, proxy <> 3:Autonomous car interest: Autonomous short trips",Somewhat interested
AvInterest7,3,Neutral,"Age 18+, proxy <> 3:Autonomous car interest: Autonomous short trips",Neutral
AvInterest7,4,Somewhat uninterested,"Age 18+, proxy <> 3:Autonomous car interest: Autonomous short trips",Somewhat uninterested
AvInterest7,5,Not at all interested,"Age 18+, proxy <> 3:Autonomous car interest: Autonomous short trips",Not at all interested
AvInterest7,6,Don't know,"Age 18+, proxy <> 3:Autonomous car interest: Autonomous short trips",Don't know
AvConcern1,1,Very concerned,"Age 18+, proxy <> 3:Autonomous car concern: Equipment and safety",Very concerned
AvConcern1,2,Somewhat concerned,"Age 18+, proxy <> 3:Autonomous car concern: Equipment and safety",Somewhat concerned
AvConcern1,3,Neutral,"Age 18+, proxy <> 3:Autonomous car concern: Equipment and safety",Neutral
AvConcern1,4,Somewhat unconcerned,"Age 18+, proxy <> 3:Autonomous car concern: Equipment and safety",Somewhat unconcerned
AvConcern1,5,Not at all concerned,"Age 18+, proxy <> 3:Autonomous car concern: Equipment and safety",Not at all concerned
AvConcern1,6,Don't know,"Age 18+, proxy <> 3:Autonomous car concern: Equipment and safety",Don't know
AvConcern2,1,Very concerned,"Age 18+, proxy <> 3:Autonomous car concern: Legal liability",Very concerned
AvConcern2,2,Somewhat concerned,"Age 18+, proxy <> 3:Autonomous car concern: Legal liability",Somewhat concerned
AvConcern2,3,Neutral,"Age 18+, proxy <> 3:Autonomous car concern: Legal liability",Neutral
AvConcern2,4,Somewhat unconcerned,"Age 18+, proxy <> 3:Autonomous car concern: Legal liability",Somewhat unconcerned
AvConcern2,5,Not at all concerned,"Age 18+, proxy <> 3:Autonomous car concern: Legal liability",Not at all concerned
AvConcern2,6,Don't know,"Age 18+, proxy <> 3:Autonomous car concern: Legal liability",Don't know
AvConcern3,1,Very concerned,"Age 18+, proxy <> 3:Autonomous car concern: System and security",Very concerned
AvConcern3,2,Somewhat concerned,"Age 18+, proxy <> 3:Autonomous car concern: System and security",Somewhat concerned
AvConcern3,3,Neutral,"Age 18+, proxy <> 3:Autonomous car concern: System and security",Neutral
AvConcern3,4,Somewhat unconcerned,"Age 18+, proxy <> 3:Autonomous car concern: System and security",Somewhat unconcerned
AvConcern3,5,Not at all concerned,"Age 18+, proxy <> 3:Autonomous car concern: System and security",Not at all concerned
AvConcern3,6,Don't know,"Age 18+, proxy <> 3:Autonomous car concern: System and security",Don't know
AvConcern4,1,Very concerned,"Age 18+, proxy <> 3:Autonomous car concern: Reaction to driving environment",Very concerned
AvConcern4,2,Somewhat concerned,"Age 18+, proxy <> 3:Autonomous car concern: Reaction to driving environment",Somewhat concerned
AvConcern4,3,Neutral,"Age 18+, proxy <> 3:Autonomous car concern: Reaction to driving environment",Neutral
AvConcern4,4,Somewhat unconcerned,"Age 18+, proxy <> 3:Autonomous car concern: Reaction to driving environment",Somewhat unconcerned
AvConcern4,5,Not at all concerned,"Age 18+, proxy <> 3:Autonomous car concern: Reaction to driving environment",Not at all concerned
AvConcern4,6,Don't know,"Age 18+, proxy <> 3:Autonomous car concern: Reaction to driving environment",Don't know
AvConcern5,1,Very concerned,"Age 18+, proxy <> 3:Autonomous car concern: Poor weather performance",Very concerned
AvConcern5,2,Somewhat concerned,"Age 18+, proxy <> 3:Autonomous car concern: Poor weather performance",Somewhat concerned
AvConcern5,3,Neutral,"Age 18+, proxy <> 3:Autonomous car concern: Poor weather performance",Neutral
AvConcern5,4,Somewhat unconcerned,"Age 18+, proxy <> 3:Autonomous car concern: Poor weather performance",Somewhat unconcerned
AvConcern5,5,Not at all concerned,"Age 18+, proxy <> 3:Autonomous car concern: Poor weather performance",Not at all concerned
AvConcern5,6,Don't know,"Age 18+, proxy <> 3:Autonomous car concern: Poor weather performance",Don't know
WbtTransitmore1,1,Regularly (6-7 days per week),"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Safer ways to get to stops",Regularly (6-7 days per week)
WbtTransitmore1,2,Somewhat often (3-5 days per week),"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Safer ways to get to stops",Somewhat often (3-5 days per week)
WbtTransitmore1,3,Occasionally (1-2 days per week),"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Safer ways to get to stops",Occasionally (1-2 days per week)
WbtTransitmore1,4,Rarely (1-3 times per month),"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Safer ways to get to stops",Rarely (1-3 times per month)
WbtTransitmore1,5,Never,"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Safer ways to get to stops",Never
WbtTransitmore1,6,Not Applicable,"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Safer ways to get to stops",Not Applicable
WbtTransitmore2,1,Regularly (6-7 days per week),"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Increased frequency",Regularly (6-7 days per week)
WbtTransitmore2,2,Somewhat often (3-5 days per week),"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Increased frequency",Somewhat often (3-5 days per week)
WbtTransitmore2,3,Occasionally (1-2 days per week),"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Increased frequency",Occasionally (1-2 days per week)
WbtTransitmore2,4,Rarely (1-3 times per month),"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Increased frequency",Rarely (1-3 times per month)
WbtTransitmore2,5,Never,"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Increased frequency",Never
WbtTransitmore2,6,Not Applicable,"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Increased frequency",Not Applicable
WbtTransitmore3,1,Regularly (6-7 days per week),"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Increased reliability",Regularly (6-7 days per week)
WbtTransitmore3,2,Somewhat often (3-5 days per week),"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Increased reliability",Somewhat often (3-5 days per week)
WbtTransitmore3,3,Occasionally (1-2 days per week),"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Increased reliability",Occasionally (1-2 days per week)
WbtTransitmore3,4,Rarely (1-3 times per month),"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Increased reliability",Rarely (1-3 times per month)
WbtTransitmore3,5,Never,"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Increased reliability",Never
WbtTransitmore3,6,Not Applicable,"Age 18+, proxy <> 3, transit_freq < 5 days/wk: Use more transit: Increased reliability",Not Applicable
WbtBikemore1,1,Regularly (6-7 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Shared use path or protected bike lane",Regularly (6-7 days per week)
WbtBikemore1,2,Somewhat often (3-5 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Shared use path or protected bike lane",Somewhat often (3-5 days per week)
WbtBikemore1,3,Occasionally (1-2 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Shared use path or protected bike lane",Occasionally (1-2 days per week)
WbtBikemore1,4,Rarely (1-3 times per month),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Shared use path or protected bike lane",Rarely (1-3 times per month)
WbtBikemore1,5,Never,"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Shared use path or protected bike lane",Never
WbtBikemore1,6,Not Applicable,"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Shared use path or protected bike lane",Not Applicable
WbtBikemore2,1,Regularly (6-7 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Neighborhood greenway",Regularly (6-7 days per week)
WbtBikemore2,2,Somewhat often (3-5 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Neighborhood greenway",Somewhat often (3-5 days per week)
WbtBikemore2,3,Occasionally (1-2 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Neighborhood greenway",Occasionally (1-2 days per week)
WbtBikemore2,4,Rarely (1-3 times per month),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Neighborhood greenway",Rarely (1-3 times per month)
WbtBikemore2,5,Never,"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Neighborhood greenway",Never
WbtBikemore2,6,Not Applicable,"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Neighborhood greenway",Not Applicable
WbtBikemore3,1,Regularly (6-7 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Bike lane",Regularly (6-7 days per week)
WbtBikemore3,2,Somewhat often (3-5 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Bike lane",Somewhat often (3-5 days per week)
WbtBikemore3,3,Occasionally (1-2 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Bike lane",Occasionally (1-2 days per week)
WbtBikemore3,4,Rarely (1-3 times per month),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Bike lane",Rarely (1-3 times per month)
WbtBikemore3,5,Never,"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Bike lane",Never
WbtBikemore3,6,Not Applicable,"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Bike lane",Not Applicable
WbtBikemore4,1,Regularly (6-7 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Shared roadway lane",Regularly (6-7 days per week)
WbtBikemore4,2,Somewhat often (3-5 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Shared roadway lane",Somewhat often (3-5 days per week)
WbtBikemore4,3,Occasionally (1-2 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Shared roadway lane",Occasionally (1-2 days per week)
WbtBikemore4,4,Rarely (1-3 times per month),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Shared roadway lane",Rarely (1-3 times per month)
WbtBikemore4,5,Never,"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Shared roadway lane",Never
WbtBikemore4,6,Not Applicable,"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: Shared roadway lane",Not Applicable
WbtBikemore5,1,Regularly (6-7 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: End of trip ammenities",Regularly (6-7 days per week)
WbtBikemore5,2,Somewhat often (3-5 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: End of trip ammenities",Somewhat often (3-5 days per week)
WbtBikemore5,3,Occasionally (1-2 days per week),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: End of trip ammenities",Occasionally (1-2 days per week)
WbtBikemore5,4,Rarely (1-3 times per month),"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: End of trip ammenities",Rarely (1-3 times per month)
WbtBikemore5,5,Never,"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: End of trip ammenities",Never
WbtBikemore5,6,Not Applicable,"Age 18+, proxy <> 3, bike_freq < 5 days/wk: Use more bike: End of trip ammenities",Not Applicable
RmoveIncentive,1,Amazon e-gift card (delivered by email),Part 2 rMove participation: Incentive type,Amazon e-gift card (delivered by email)
RmoveIncentive,2,Starbucks e-gift card (delivered by email),Part 2 rMove participation: Incentive type,Starbucks e-gift card (delivered by email)
RmoveIncentive,3,None – prefer not to receive a gift card,Part 2 rMove participation: Incentive type,None – prefer not to receive a gift card
CallCenter,0,No,rSurvey only: Participant completed Part 2 through the call center,No
CallCenter,1,Yes,rSurvey only: Participant completed Part 2 through the call center,Yes
MobileDevice,0,No,rSurvey only: Participant completed Part 2 on a mobile device,No
MobileDevice,1,Yes,rSurvey only: Participant completed Part 2 on a mobile device,Yes
NumTrips,0,0 (no trips),Participant number of trips,0 (no trips)
DepartTimeMam,-5,Before 3:00 AM,Departure time: Minutes after midnight,Before 3:00 AM
DepartTimeMam,1440,3:00 AM or later (the next day),Departure time: Minutes after midnight,3:00 AM or later (the next day)
ArrivalTimeMam,-5,Before 3:00 AM,Arrival time: Minutes after midnight,Before 3:00 AM
ArrivalTimeMam,1440,3:00 AM or later (the next day),Arrival time: Minutes after midnight,3:00 AM or later (the next day)
OriginPurpose,1,Went home,Origin purpose,Went home
OriginPurpose,6,"Went to school/daycare (e.g., daycare, K-12, college)",Origin purpose,"Went to school/daycare (e.g., daycare, K-12, college)"
OriginPurpose,9,"Dropped off/picked up someone (e.g., son at a friend's house, spouse at bus stop)",Origin purpose,"Dropped off/picked up someone (e.g., son at a friend's house, spouse at bus stop)"
OriginPurpose,10,Went to primary workplace,Origin purpose,Went to primary workplace
OriginPurpose,11,"Went to work-related place (e.g., meeting, second job, delivery)",Origin purpose,"Went to work-related place (e.g., meeting, second job, delivery)"
OriginPurpose,14,Went to other work-related activity,Origin purpose,Went to other work-related activity
OriginPurpose,30,Went grocery shopping,Origin purpose,Went grocery shopping
OriginPurpose,32,"Went to other shopping (e.g., mall, pet store)",Origin purpose,"Went to other shopping (e.g., mall, pet store)"
OriginPurpose,33,"Conducted personal business (e.g., bank, post office)",Origin purpose,"Conducted personal business (e.g., bank, post office)"
OriginPurpose,34,"Went to medical appointment (e.g., doctor, dentist)",Origin purpose,"Went to medical appointment (e.g., doctor, dentist)"
OriginPurpose,50,Went to restaurant to eat/get take-out,Origin purpose,Went to restaurant to eat/get take-out
OriginPurpose,51,"Went to exercise (e.g., gym, walk, jog, bike ride)",Origin purpose,"Went to exercise (e.g., gym, walk, jog, bike ride)"
OriginPurpose,52,"Attended social event (e.g., visit with friends, family, co-workers)",Origin purpose,"Attended social event (e.g., visit with friends, family, co-workers)"
OriginPurpose,53,"Attended recreational event (e.g., movies, sporting event)",Origin purpose,"Attended recreational event (e.g., movies, sporting event)"
